country_ch,country_en,cases,deaths
美國,United States,"39,946,942","661,950"
印度,India,"32,945,907","440,225"
巴西,Brazil,"20,877,864","583,362"
俄羅斯,Russia,"6,993,954","186,407"
英國,United Kingdom,"6,941,611","133,161"
法國,France,"6,826,042","114,856"
土耳其,Turkey,"6,478,663","57,837"
阿根廷,Argentina,"5,202,405","112,444"
伊朗,Iran,"5,103,537","110,064"
哥倫比亞,Colombia,"4,916,980","125,230"
西班牙,Spain,"4,877,755","84,795"
義大利,Italy,"4,566,126","129,466"
印尼,Indonesia,"4,123,617","135,469"
德國,Germany,"3,995,188","92,325"
墨西哥,Mexico,"3,405,294","262,221"
波蘭,Poland,"2,890,161","75,379"
南非,South Africa,"2,814,014","83,343"
烏克蘭,Ukraine,"2,296,155","53,966"
秘魯,Peru,"2,153,092","198,420"
菲律賓,Philippines,"2,061,084","34,062"
荷蘭,Netherlands,"1,951,886","18,035"
伊拉克,Iraq,"1,912,395","21,042"
馬來西亞,Malaysia,"1,824,439","17,883"
捷克,Czech Republic,"1,680,354","30,406"
智利,Chile,"1,640,666","37,067"
日本,Japan,"1,561,606","16,329"
孟加拉,Bangladesh,"1,512,026","26,493"
加拿大,Canada,"1,511,212","27,006"
泰國,Thailand,"1,265,082","12,631"
比利時,Belgium,"1,192,008","25,397"
巴基斯坦,Pakistan,"1,175,558","26,114"
瑞典,Sweden,"1,130,525","14,692"
以色列,Israel,"1,112,964","7,154"
羅馬尼亞,Romania,"1,104,766","34,678"
葡萄牙,Portugal,"1,045,857","17,785"
摩洛哥,Morocco,"881,042","12,993"
匈牙利,Hungary,"813,040","30,061"
哈薩克,Kazakhstan,"808,431","9,689"
約旦,Jordan,"800,240","10,463"
瑞士,Switzerland,"788,813","10,522"
塞爾維亞,Serbia,"776,923","7,358"
尼泊爾,Nepal,"768,295","10,818"
阿拉伯聯合大公國,UAE,"722,292","2,045"
奧地利,Austria,"695,131","10,790"
古巴,Cuba,"680,453","5,617"
突尼西亞,Tunisia,"672,236","23,773"
黎巴嫩,Lebanon,"606,536","8,089"
希臘,Greece,"598,667","13,843"
喬治亞,Georgia,"562,627","7,732"
沙烏地阿拉伯,Saudi Arabia,"545,123","8,572"
越南,Vietnam,"511,170","12,793"
厄瓜多,Ecuador,"502,146","32,296"
玻利維亞,Bolivia,"492,220","18,497"
白俄羅斯,Belarus,"488,963","3,826"
瓜地馬拉,Guatemala,"486,819","12,203"
哥斯大黎加,Costa Rica,"472,315","5,568"
保加利亞,Bulgaria,"461,545","19,083"
巴拿馬,Panama,"459,077","7,073"
巴拉圭,Paraguay,"458,799","15,864"
斯里蘭卡,Sri Lanka,"451,401","9,806"
亞塞拜然,Azerbaijan,"439,562","5,800"
緬甸,Myanmar,"412,587","15,795"
科威特,Kuwait,"410,270","2,423"
斯洛伐克,Slovakia,"395,861","12,549"
烏拉圭,Uruguay,"385,557","6,034"
巴勒斯坦,Palestine,"381,224","3,988"
克羅埃西亞,Croatia,"377,299","8,362"
愛爾蘭,Ireland,"355,639","5,112"
多明尼加,Dominican,"351,453","4,012"
丹麥,Denmark,"349,702","2,592"
宏都拉斯,Honduras,"343,807","9,023"
委內瑞拉,Venezuela,"338,300","4,072"
利比亞,Libya,"313,504","4,308"
衣索比亞,Ethiopia,"313,468","4,749"
阿曼,Oman,"302,466","4,070"
立陶宛,Lithuania,"302,014","4,598"
埃及,Egypt,"289,684","16,776"
巴林,Bahrain,"272,916","1,388"
斯洛維尼亞,Slovenia,"269,990","4,455"
摩爾多瓦,Moldova,"269,986","6,426"
韓國,South Korea,"258,913","2,315"
亞美尼亞,Armenia,"244,602","4,904"
肯亞,Kenya,"239,692","4,778"
卡達,Qatar,"233,437",602
蒙古,Mongolia,"228,685",957
波士尼亞與赫塞哥維納,Bosnia and Herzegovina,"216,124","9,862"
尚比亞,Zambia,"207,028","3,614"
阿爾及利亞,Algeria,"197,659","5,399"
奈及利亞,Nigeria,"194,088","2,495"
北馬其頓,North Macedonia,"179,587","6,045"
吉爾吉斯,Kyrgyzstan,"176,347","2,546"
挪威,Norway,"166,200",822
波札那,Botswana,"159,317","2,276"
烏茲別克,Uzbekistan,"159,209","1,106"
阿富汗,Afghanistan,"153,420","7,130"
科索沃,Kosovo,"151,279","2,605"
阿爾巴尼亞,Albania,"150,101","2,512"
莫三比克,Mozambique,"147,785","1,877"
拉脫維亞,Latvia,"144,160","2,584"
愛沙尼亞,Estonia,"143,533","1,297"
芬蘭,Finland,"129,192","1,030"
納米比亞,Namibia,"125,494","3,407"
辛巴威,Zimbabwe,"125,425","4,466"
烏干達,Uganda,"120,466","3,041"
迦納,Ghana,"120,452","1,052"
蒙特內哥羅,Montenegro,"117,632","1,753"
賽普勒斯,Cyprus,"114,899",513
薩爾瓦多,El Salvador,"96,067","2,952"
中國大陸,China,"95,010","4,636"
柬埔寨,Cambodia,"94,839","1,950"
盧安達,Rwanda,"89,524","1,117"
喀麥隆,Cameroon,"84,210","1,357"
馬爾地夫,Maldives,"81,810",226
盧森堡,Luxembourg,"76,102",830
塞內加爾,Senegal,"73,104","1,794"
牙買加,Jamaica,"70,657","1,593"
新加坡,Singapore,"68,469",55
馬拉威,Malawi,"60,803","2,206"
澳洲,Australia,"59,968","1,036"
象牙海岸,Ivory Coast,"56,608",455
剛果民主共和國,DR Congo,"55,307","1,061"
安哥拉,Angola,"48,475","1,258"
斐濟,Fiji,"47,709",508
千里達及托巴哥,Trinidad and Tobago,"45,487","1,325"
史瓦帝尼,Eswatini,"44,134","1,144"
馬達加斯加,Madagascar,"42,881",957
蘇丹,Sudan,"37,715","2,837"
馬爾他,Malta,"36,426",442
維德角,Cape Verde,"35,739",315
茅利塔尼亞,Mauritania,"33,989",730
蘇利南,Suriname,"30,120",733
幾內亞,Guinea,"29,742",346
敘利亞,Syria,"28,423","2,033"
蓋亞那,Guyana,"26,112",636
加彭,Gabon,"26,079",167
多哥,Togo,"22,234",193
海地,Haiti,"20,977",586
塞席爾,Seychelles,"20,144",105
巴哈馬,Bahamas,"18,694",412
巴布亞紐幾內亞,Papua New Guinea,"17,926",192
東帝汶,East Timor,"17,468",78
塔吉克,Tajikistan,"17,313",125
貝南,Benin,"16,946",135
貝里斯,Belize,"16,750",363
臺灣,Taiwan,"16,013",837
寮國,Laos,"15,761",16
安道爾,Andorra,"15,055",130
馬利,Mali,"14,930",541
賴索托,Lesotho,"14,395",403
索馬利亞,Somalia,"14,102",696
布吉納法索,Burkina Faso,"13,827",171
剛果共和國,Congo,"13,588",183
蒲隆地,Burundi,"12,585",38
香港,Hong Kong,"12,114",212
吉布地,Djibouti,"11,775",157
南蘇丹,South Sudan,"11,473",120
中非,Central Africa,"11,296",100
模里西斯,Mauritius,"11,181",31
冰島,Iceland,"11,010",33
赤道幾內亞,Equatorial Guinea,"9,760",128
甘比亞,Gambia,"9,736",323
尼加拉瓜,Nicaragua,"9,283",200
聖露西亞,Saint Lucia,"8,887",116
葉門,Yemen,"8,056","1,519"
厄利垂亞,Eritrea,"6,647",38
獅子山,Sierra Leone,"6,372",121
尼日,Niger,"5,869",199
幾內亞比索,Guinea-Bissau,"5,869",120
賴比瑞亞,Liberia,"5,459",148
聖馬利諾,San Marino,"5,321",90
巴貝多,Barbados,"5,248",51
查德,Chad,"4,995",174
索馬利蘭,Somaliland,"4,852",329
葛摩,Comoros,"4,084",147
紐西蘭,New Zealand,"3,391",27
列支敦斯登,Liechtenstein,"3,314",59
摩納哥,Monaco,"3,232",33
汶萊,Brunei,"3,219",18
聖多美普林西比,Sao Tome and Principe,"2,683",37
不丹,Bhutan,"2,596",3
聖文森及格瑞那丁,Saint Vincent and the Grenadines,"2,361",12
多米尼克,Dominica,"1,832",4
安地卡及巴布達,Antigua and Barbuda,"1,759",46
坦尚尼亞,Tanzania,"1,367",50
聖克里斯多福及尼維斯,Saint Kitts and Nevis,"1,197",5
格瑞那達,Grenada,"1,098",5
國際運輸工具(鑽石公主號),Int'l conveyance (Japan),741,13
澳門,Macao,63,0
教廷,Holy See,27,0
索羅門群島,Solomon islands,20,0
萬那杜,Vanuatu,4,1
馬紹爾群島,Marshall Islands,4,0
帛琉,Palau,2,0
薩摩亞,Samoa,1,0
密克羅尼西亞聯邦,Micronesia,1,0